Specimen ID,Site,Date,Total Length (cm),Standard Length (cm),Weight (g),Gonadal Weight (g),Catch Method,Column10,Column11,Notes,,Side Notes,,,,,,Extra Notes:
PLN-DGT-052,Dumaguete,6/16/19,9.7,9,5.51,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-053,Dumaguete,6/16/19,9.9,9.1,5.47,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-054,Dumaguete,6/16/19,12.2,11.3,10.73,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-055,Dumaguete,6/16/19,11.4,10.5,11.55,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-056,Dumaguete,6/16/19,15.9,14.8,24.87,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-057,Dumaguete,6/16/19,13.2,12.3,14.09,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-058,Dumaguete,6/16/19,12.9,12,13.31,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-059,Dumaguete,6/16/19,16.6,15.5,27.37,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-060,Dumaguete,6/16/19,12.5,11.7,12.44,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-061,Dumaguete,6/16/19,16.2,15,26.03,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-062,Dumaguete,6/16/19,11.6,10.7,9.09,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-063,Dumaguete,6/16/19,12.2,11.5,10.88,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-064,Dumaguete,6/16/19,10.4,9.6,6.61,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-065,Dumaguete,6/16/19,13,12.2,13.4,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-066,Dumaguete,6/16/19,10.3,9.5,6.46,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-067,Dumaguete,6/16/19,17,15.8,32.58,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-068,Dumaguete,6/16/19,9.8,9,5.95,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-069,Dumaguete,6/16/19,12.4,11.6,11.51,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-070,Dumaguete,6/16/19,12.3,11.5,11.41,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-071,Dumaguete,6/16/19,13.2,12.4,14.22,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-072,Dumaguete,6/16/19,18.5,17.2,41.11,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-073,Dumaguete,6/16/19,22.3,20.8,76.22,,Fish Net (SCUBA),,,End of 06/16/19 catches; Corro said he would scuba at night to catch larger specimens (for 06/17/19),,,,,,,,
PLN-DGT-074,Dumaguete,6/17/19,18.5,17.2,39.87,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-075,Dumaguete,6/17/19,19.3,17.9,42.91,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-076,Dumaguete,6/17/19,17.4,16.2,33.08,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-077,Dumaguete,6/17/19,18.9,17.4,36.57,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-078,Dumaguete,6/17/19,21.9,20.4,50.22,,Fish Net (SCUBA),,,,,,,,,,,
